Date	Time	Severity	PID	TID	Function	Message
07-06-2026	14:55:00.532	 INFO	 37556	 83380	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
07-06-2026	14:55:00.534	 INFO	 37556	 83380	LateInitialization	"IsExplorer = 0"
07-06-2026	14:55:00.538	 INFO	 37556	 83380	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	14:55:00.541	 INFO	 37556	 83380	LateInitialization	"Intialization finished"
07-06-2026	14:55:01.686	 INFO	 78676	 81968	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	14:55:01.699	 INFO	 78676	 77376	LateInitialization	"Intialization..."
07-06-2026	14:55:01.702	 INFO	 78676	 77376	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	14:55:01.705	 INFO	 78676	 77376	LateInitialization	"IsExplorer = 0"
07-06-2026	14:55:01.708	 INFO	 78676	 77376	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	14:55:01.713	 INFO	 78676	 77376	LateInitialization	"Intialization finished"
07-06-2026	15:14:09.803	 INFO	 36756	 83608	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:14:09.808	 INFO	 36756	 79428	LateInitialization	"Intialization..."
07-06-2026	15:14:09.811	 INFO	 36756	 79428	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
07-06-2026	15:14:09.820	 INFO	 36756	 79428	LateInitialization	"IsExplorer = 0"
07-06-2026	15:14:09.826	 INFO	 36756	 79428	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:14:09.833	 INFO	 36756	 79428	LateInitialization	"Intialization finished"
07-06-2026	15:14:10.941	 INFO	 81696	 83512	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:14:10.946	 INFO	 81696	 76340	LateInitialization	"Intialization..."
07-06-2026	15:14:10.952	 INFO	 81696	 76340	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	15:14:10.957	 INFO	 81696	 76340	LateInitialization	"IsExplorer = 0"
07-06-2026	15:14:10.960	 INFO	 81696	 76340	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:14:10.969	 INFO	 81696	 76340	LateInitialization	"Intialization finished"
07-06-2026	15:14:24.210	 INFO	 21204	 81896	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:14:24.220	 INFO	 21204	 75676	LateInitialization	"Intialization..."
07-06-2026	15:14:24.226	 INFO	 21204	 75676	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	15:14:24.233	 INFO	 21204	 75676	LateInitialization	"IsExplorer = 0"
07-06-2026	15:14:24.238	 INFO	 21204	 75676	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:14:24.244	 INFO	 21204	 75676	LateInitialization	"Intialization finished"
07-06-2026	15:30:02.098	 INFO	 79740	 82756	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:30:02.101	 INFO	 79740	 84012	LateInitialization	"Intialization..."
07-06-2026	15:30:02.103	 INFO	 79740	 84012	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
07-06-2026	15:30:02.106	 INFO	 79740	 84012	LateInitialization	"IsExplorer = 0"
07-06-2026	15:30:02.109	 INFO	 79740	 84012	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:30:02.112	 INFO	 79740	 84012	LateInitialization	"Intialization finished"
07-06-2026	15:30:03.243	 INFO	 84080	 72660	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:30:03.246	 INFO	 84080	 84852	LateInitialization	"Intialization..."
07-06-2026	15:30:03.248	 INFO	 84080	 84852	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	15:30:03.251	 INFO	 84080	 84852	LateInitialization	"IsExplorer = 0"
07-06-2026	15:30:03.254	 INFO	 84080	 84852	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:30:03.257	 INFO	 84080	 84852	LateInitialization	"Intialization finished"
07-06-2026	15:40:03.381	 INFO	 83476	 84776	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:40:03.385	 INFO	 83476	 24804	LateInitialization	"Intialization..."
07-06-2026	15:40:03.387	 INFO	 83476	 24804	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
07-06-2026	15:40:03.389	 INFO	 83476	 24804	LateInitialization	"IsExplorer = 0"
07-06-2026	15:40:03.392	 INFO	 83476	 24804	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:40:03.393	 INFO	 83476	 24804	LateInitialization	"Intialization finished"
07-06-2026	15:40:04.497	 INFO	 75020	 86892	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:40:04.500	 INFO	 75020	 85012	LateInitialization	"Intialization..."
07-06-2026	15:40:04.501	 INFO	 75020	 85012	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	15:40:04.504	 INFO	 75020	 85012	LateInitialization	"IsExplorer = 0"
07-06-2026	15:40:04.505	 INFO	 75020	 85012	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:40:04.507	 INFO	 75020	 85012	LateInitialization	"Intialization finished"
07-06-2026	15:57:21.483	 INFO	 83984	 84872	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:57:21.487	 INFO	 83984	 82244	LateInitialization	"Intialization..."
07-06-2026	15:57:21.489	 INFO	 83984	 82244	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
07-06-2026	15:57:21.491	 INFO	 83984	 82244	LateInitialization	"IsExplorer = 0"
07-06-2026	15:57:21.493	 INFO	 83984	 82244	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:57:21.495	 INFO	 83984	 82244	LateInitialization	"Intialization finished"
07-06-2026	15:57:32.879	 INFO	 85540	 89172	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
07-06-2026	15:57:32.884	 INFO	 85540	 89180	LateInitialization	"Intialization..."
07-06-2026	15:57:32.887	 INFO	 85540	 89180	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
07-06-2026	15:57:32.889	 INFO	 85540	 89180	LateInitialization	"IsExplorer = 0"
07-06-2026	15:57:32.891	 INFO	 85540	 89180	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
07-06-2026	15:57:32.896	 INFO	 85540	 89180	LateInitialization	"Intialization finished"
08-06-2026	19:09:46.728	 INFO	 93904	106932	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
08-06-2026	19:09:46.736	 INFO	 93904	 67800	LateInitialization	"Intialization..."
08-06-2026	19:09:46.740	 INFO	 93904	 67800	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\tail.exe"
08-06-2026	19:09:46.747	 INFO	 93904	 67800	LateInitialization	"IsExplorer = 0"
08-06-2026	19:09:46.750	 INFO	 93904	 67800	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
08-06-2026	19:09:46.754	 INFO	 93904	 67800	LateInitialization	"Intialization finished"
08-06-2026	19:09:47.892	 INFO	 31712	109340	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
08-06-2026	19:09:47.900	 INFO	 31712	 43352	LateInitialization	"Intialization..."
